sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZR5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ,"NASA's Mars Perseverance rover acquired this image using its Right Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:42:16.",Full,Sol-00016M12:42:16.428,NASA/JPL-Caltech/ASU,2021-03-07T09:20:39.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZR5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZR5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ,386,Mars Perseverance Sol 16: Right Mastcam-Z Camera,3,2021-03-07T12:10:24Z,185.996,-29.5448,668361551.423,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ01_1200.jpg,ZCAM_R5_978NM,"(-0.865113775412919,-0.09089916060648885,0.493270208092726)","(0.769708,0.434056,-1.96689);(-0.869191,-0.0955925,0.485166);(29.7864,-6642.08,498.658);(2708.82,397.508,6040.39);(-0.866449,-0.0965001,0.489866);(-5.29857e-05,-0.474744,0.782138)","(0.769708,0.434056,-1.96689)",MCZ_RIGHT,CAHVOR
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZR4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ,"NASA's Mars Perseverance rover acquired this image using its Right Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:42:32.",Full,Sol-00016M12:42:32.973,NASA/JPL-Caltech/ASU,2021-03-07T09:18:52.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZR4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZR4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ,386,Mars Perseverance Sol 16: Right Mastcam-Z Camera,3,2021-03-07T12:10:24Z,185.996,-29.5448,668361568.162,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ01_1200.jpg,ZCAM_R4_939NM,"(-0.865113775412919,-0.09089916060648885,0.493270208092726)","(0.769708,0.434056,-1.96689);(-0.869191,-0.0955925,0.485166);(29.7864,-6642.08,498.658);(2708.82,397.508,6040.39);(-0.866449,-0.0965001,0.489866);(-5.29857e-05,-0.474744,0.782138)","(0.769708,0.434056,-1.96689)",MCZ_RIGHT,CAHVOR
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZL6_0016_0668361408_053FDR_N0030386ZCAM03101_0630LUJ,"NASA's Mars Perseverance rover acquired this image using its Left Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:40:05.",Full,Sol-00016M12:40:05.039,NASA/JPL-Caltech/ASU,2021-03-07T09:18:32.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZL6_0016_0668361408_053FDR_N0030386ZCAM03101_0630LUJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZL6_0016_0668361408_053FDR_N0030386ZCAM03101_0630LUJ,386,Mars Perseverance Sol 16: Left Mastcam-Z Camera,3,2021-03-07T12:10:24Z,331.003,-32.3991,668361416.201,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL6_0016_0668361408_053FDR_N0030386ZCAM03101_0630LUJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL6_0016_0668361408_053FDR_N0030386ZCAM03101_0630LUJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL6_0016_0668361408_053FDR_N0030386ZCAM03101_0630LUJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL6_0016_0668361408_053FDR_N0030386ZCAM03101_0630LUJ01_1200.jpg,ZCAM_L6_442NM,"(0.7384994637933576,-0.40923507744632115,0.5358593037024056)","(0.777457,0.431545,-1.97178);(0.748044,-0.404285,0.526307);(4845.62,7140.46,312.694);(-3505.75,2115.78,7566.89);(0.751851,-0.398217,0.525508);(-0.000371109,-0.332914,-2.02135)","(0.777457,0.431545,-1.97178)",MCZ_LEFT,CAHVOR
16,"(0.8129,-0.0120277,0.0123195,0.582148)",NLF_0016_0668374300_362ECM_N0030578NCAM00500_01_295J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 16:09:04.",Full,Sol-00016M16:09:04.781,NASA/JPL-Caltech,2021-03-07T09:18:22.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0016_0668374300_362ECM_N0030578NCAM00500_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0016_0668374300_362ECM_N0030578NCAM00500_01_295J,578,Mars Perseverance Sol 16: Left Navigation Camera (Navcam),3,2021-03-07T09:36:56Z,216.866,-5.25891,668374300.464,4,"(39.3213,34.1703,-0.00444177)","(1,1441,5120,960)","(1280,240)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/edr/browse/ncam/NLF_0016_0668374300_362ECM_N0030578NCAM00500_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/edr/browse/ncam/NLF_0016_0668374300_362ECM_N0030578NCAM00500_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/edr/browse/ncam/NLF_0016_0668374300_362ECM_N0030578NCAM00500_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/edr/browse/ncam/NLF_0016_0668374300_362ECM_N0030578NCAM00500_01_295J01_1200.jpg,UNK,"(-0.796218277759321,-0.5979226237981724,0.09233087301812865)","(0.568352,0.648153,-1.96427);(-0.788668,-0.606733,0.0994615);(-60.611,-979.838,63.0176);(-39.7025,-32.2582,748.287);(-0.78779,-0.607854,0.0995785);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.568352,0.648153,-1.96427)",NAVCAM_LEFT,CAHVORE
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZR1_0016_0668361317_053FDR_N0030386ZCAM03101_0630LUJ,"NASA's Mars Perseverance rover acquired this image using its Right Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:38:36.",Full,Sol-00016M12:38:36.473,NASA/JPL-Caltech/ASU,2021-03-07T09:18:17.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZR1_0016_0668361317_053FDR_N0030386ZCAM03101_0630LUJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZR1_0016_0668361317_053FDR_N0030386ZCAM03101_0630LUJ,386,Mars Perseverance Sol 16: Right Mastcam-Z Camera,3,2021-03-07T12:10:24Z,328.24,-32.2125,668361325.215,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR1_0016_0668361317_053FDR_N0030386ZCAM03101_0630LUJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR1_0016_0668361317_053FDR_N0030386ZCAM03101_0630LUJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR1_0016_0668361317_053FDR_N0030386ZCAM03101_0630LUJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR1_0016_0668361317_053FDR_N0030386ZCAM03101_0630LUJ01_1200.jpg,ZCAM_R1_800NM,"(0.7193815773084947,-0.44528219740082675,0.5331171643335386)","(0.902024,0.641646,-1.96982);(0.726472,-0.441025,0.527022);(5034.57,6979.45,581.507);(-3543.78,1996.38,7574.8);(0.725872,-0.435849,0.532129);(3.70435e-05,-0.349347,-0.198246)","(0.902024,0.641646,-1.96982)",MCZ_RIGHT,CAHVOR
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZL4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ,"NASA's Mars Perseverance rover acquired this image using its Left Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:42:30.",Full,Sol-00016M12:42:30.054,NASA/JPL-Caltech/ASU,2021-03-07T09:17:55.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZL4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZL4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ,386,Mars Perseverance Sol 16: Left Mastcam-Z Camera,3,2021-03-07T12:10:24Z,188.673,-29.7143,668361565.105,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL4_0016_0668361559_545FDR_N0030386ZCAM03002_0480LMJ01_1200.jpg,ZCAM_L4_605NM,"(-0.8585172302373576,-0.1309991916458586,0.49576947987316367)","(0.741973,0.676653,-1.96782);(-0.862444,-0.142159,0.485796);(232.179,-6666.1,302.528);(2744.48,296.996,6041.16);(-0.862495,-0.143794,0.485223);(-0.000239634,-0.466106,1.47808)","(0.741973,0.676653,-1.96782)",MCZ_LEFT,CAHVOR
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZL6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ,"NASA's Mars Perseverance rover acquired this image using its Left Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:41:51.",Full,Sol-00016M12:41:51.124,NASA/JPL-Caltech/ASU,2021-03-07T09:17:47.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZL6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZL6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ,386,Mars Perseverance Sol 16: Left Mastcam-Z Camera,3,2021-03-07T12:10:24Z,188.673,-29.7143,668361525.115,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ01_1200.jpg,ZCAM_L6_442NM,"(-0.8585172302373576,-0.1309991916458586,0.49576947987316367)","(0.741973,0.676653,-1.96782);(-0.862444,-0.142159,0.485796);(232.179,-6666.1,302.528);(2744.48,296.996,6041.16);(-0.862495,-0.143794,0.485223);(-0.000239634,-0.466106,1.47808)","(0.741973,0.676653,-1.96782)",MCZ_LEFT,CAHVOR
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZL5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ,"NASA's Mars Perseverance rover acquired this image using its Left Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:42:13.",Full,Sol-00016M12:42:13.509,NASA/JPL-Caltech/ASU,2021-03-07T09:17:42.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZL5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZL5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ,386,Mars Perseverance Sol 16: Left Mastcam-Z Camera,3,2021-03-07T12:10:24Z,188.673,-29.7143,668361548.107,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL5_0016_0668361542_536FDR_N0030386ZCAM03002_0480LMJ01_1200.jpg,ZCAM_L5_528NM,"(-0.8585172302373576,-0.1309991916458586,0.49576947987316367)","(0.741973,0.676653,-1.96782);(-0.862444,-0.142159,0.485796);(232.179,-6666.1,302.528);(2744.48,296.996,6041.16);(-0.862495,-0.143794,0.485223);(-0.000239634,-0.466106,1.47808)","(0.741973,0.676653,-1.96782)",MCZ_LEFT,CAHVOR
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZL4_0016_0668361369_053FDR_N0030386ZCAM03101_0630LUJ,"NASA's Mars Perseverance rover acquired this image using its Left Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:39:25.",Full,Sol-00016M12:39:25.135,NASA/JPL-Caltech/ASU,2021-03-07T09:17:41.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZL4_0016_0668361369_053FDR_N0030386ZCAM03101_0630LUJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZL4_0016_0668361369_053FDR_N0030386ZCAM03101_0630LUJ,386,Mars Perseverance Sol 16: Left Mastcam-Z Camera,3,2021-03-07T12:10:24Z,331.003,-32.3991,668361375.077,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL4_0016_0668361369_053FDR_N0030386ZCAM03101_0630LUJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL4_0016_0668361369_053FDR_N0030386ZCAM03101_0630LUJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL4_0016_0668361369_053FDR_N0030386ZCAM03101_0630LUJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZL4_0016_0668361369_053FDR_N0030386ZCAM03101_0630LUJ01_1200.jpg,ZCAM_L4_605NM,"(0.7384994637933576,-0.40923507744632115,0.5358593037024056)","(0.777457,0.431545,-1.97178);(0.748044,-0.404285,0.526307);(4845.62,7140.46,312.694);(-3505.75,2115.78,7566.89);(0.751851,-0.398217,0.525508);(-0.000371109,-0.332914,-2.02135)","(0.777457,0.431545,-1.97178)",MCZ_LEFT,CAHVOR
16,"(0.7156,0.0208675,-0.000370714,0.698199)",ZR6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ,"NASA's Mars Perseverance rover acquired this image using its Right Mastcam-Z camera. Mastcam-Z is a pair of cameras located high on the rover's mast.  

This image was acquired on Mar. 7, 2021 (Sol 16) at the local mean solar time of 12:41:58.",Full,Sol-00016M12:41:58.910,NASA/JPL-Caltech/ASU,2021-03-07T09:17:33.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=ZR6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=ZR6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ,386,Mars Perseverance Sol 16: Right Mastcam-Z Camera,3,2021-03-07T12:10:24Z,185.996,-29.5448,668361533.439,1,"(31.2262,8.12755,0.398731)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00016/ids/fdr/browse/zcam/ZR6_0016_0668361429_542FDR_N0030386ZCAM03002_0480LMJ01_1200.jpg,ZCAM_R6_1022NM,"(-0.865113775412919,-0.09089916060648885,0.493270208092726)","(0.769708,0.434056,-1.96689);(-0.869191,-0.0955925,0.485166);(29.7864,-6642.08,498.658);(2708.82,397.508,6040.39);(-0.866449,-0.0965001,0.489866);(-5.29857e-05,-0.474744,0.782138)","(0.769708,0.434056,-1.96689)",MCZ_RIGHT,CAHVOR
